[4, 'zitler', 0.65, 0.5, 100, 1.0, 2.0],
[6, 'bdom', 0.85, 0.5, 600, 4.5, 5.0],
[4, 'bdom', 0.97, 0.5, 1600, 1.5, 6.0],
[14, 'zitler', 0.81, 0.5, 2100, 1.5, 5.0],
[4, 'bdom', 0.69, 0.5, 1600, 4.5, 3.0],
[2, 'bdom', 0.85, 0.5, 1600, 3.5, 3.0],
[10, 'bdom', 0.69, 0.5, 2600, 2.0, 4.0],
[14, 'bdom', 0.73, 0.5, 2600, 3.5, 2.0],
[4, 'bdom', 0.65, 0.5, 1100, 3.5, 5.0],
[4, 'bdom', 0.77, 0.5, 1100, 4.0, 4.0],
[10, 'bdom', 0.81, 0.5, 2600, 4.0, 4.0],
[6, 'bdom', 0.69, 0.5, 2100, 2.5, 4.0],
[6, 'bdom', 0.77, 0.5, 2600, 0.5, 6.0],
[2, 'bdom', 0.93, 0.5, 2100, 3.5, 4.0],
[14, 'zitler', 0.69, 0.5, 2600, 4.0, 2.0],
[2, 'zitler', 0.93, 0.5, 2600, 4.5, 2.0],
[4, 'bdom', 0.77, 0.5, 100, 4.0, 5.0],
[4, 'bdom', 0.77, 0.5, 1600, 2.0, 6.0],
[6, 'bdom', 0.77, 0.5, 1600, 2.5, 4.0],
[2, 'bdom', 0.73, 0.5, 2600, 2.0, 5.0],
[14, 'bdom', 0.85, 0.5, 2600, 1.0, 2.0],
[12, 'bdom', 0.81, 0.5, 600, 3.5, 2.0],
[6, 'bdom', 0.93, 0.5, 2100, 1.0, 3.0],
[8, 'bdom', 0.89, 0.5, 1100, 1.5, 3.0],
[2, 'bdom', 0.97, 0.5, 100, 3.0, 4.0],
[10, 'bdom', 0.89, 0.5, 1100, 4.0, 2.0],
[2, 'bdom', 0.93, 0.5, 1600, 1.0, 5.0],
[4, 'bdom', 0.89, 0.5, 1100, 3.0, 3.0],
[14, 'bdom', 0.69, 0.5, 2600, 1.5, 3.0],
[12, 'zitler', 0.81, 0.5, 1600, 4.5, 2.0],
[14, 'bdom', 0.69, 0.5, 2100, 3.5, 4.0],
[12, 'bdom', 0.81, 0.5, 2600, 0.5, 3.0],
[2, 'bdom', 0.89, 0.5, 600, 2.5, 6.0],
[12, 'bdom', 0.65, 0.5, 1100, 3.0, 5.0],
[6, 'bdom', 0.85, 0.5, 1600, 2.5, 4.0],
[12, 'bdom', 0.77, 0.5, 1600, 3.0, 4.0],
